Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-02-20,880.557861328125,893.6896707226856,877.9234279435955,887.2544615725673,1587924
2014-02-21,887.1342163085938,890.0703015602221,881.1213344523527,884.037290026827,1717860
2014-02-24,875.9528198242188,886.9530476761407,872.8157330817374,886.4502968272142,2450424
2014-02-25,880.3768920898438,884.6402579113991,876.7973458726302,880.4171514289851,3305374
2014-02-26,877.662109375,882.8304270064083,875.651106124416,882.4282263562915,3859712
2014-02-28,915.3080444335938,917.017397037721,868.8136143239267,869.1555241221558,3988192
2014-03-03,900.9498291015625,924.6595441865585,896.1032903208579,913.7197031893934,1606078
2014-03-04,901.191162109375,906.5605819408823,894.4945582238342,898.1947858583519,2030332
2014-03-05,905.7156372070312,919.5312693114928,901.9551199096669,906.9022077222504,2302006
2014-03-06,901.2311401367188,908.9735029382949,897.7721751401643,906.0978074608325,1314562
2014-03-07,896.304443359375,904.9718898566871,865.8578637778452,903.1418566585041,4698472
2014-03-10,861.7752075195312,896.3041735640351,858.6984117384856,896.1433325769491,3829768
2014-03-11,865.3953247070312,875.8525456600654,853.470110089936,866.7427366841716,2550254
2014-03-12,876.576416015625,880.7191034316352,865.9382256825256,865.9382256825256,1669788
2014-03-13,864.5505981445312,885.646006778081,859.4426685161717,863.9472970499958,2019884
2014-03-14,860.5286254882812,868.9547114757787,854.3950641135968,861.1117969311003,2161246
2014-03-18,853.4697875976562,865.455386722887,846.3307259907484,858.8994964254454,2565842
2014-03-19,820.248291015625,834.5666291469354,809.6503101467767,834.5666291469354,8652662
2014-03-20,847.9195556640625,853.8318867306727,808.9865546272426,819.6850841794162,5728956
2014-03-21,855.4808959960938,862.7205086561453,838.5884664559734,854.6764945894214,4680776
2014-03-24,865.777099609375,867.9288140244844,855.1388145852819,859.4826009486824,2183014
2014-03-25,863.3840942382812,873.5799212708574,856.6874918540176,862.3183016596308,2249968
2014-03-26,842.0072021484375,868.1502487878683,839.6141275178427,863.9472709283898,3192350
