Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2014-01-01,301.7462158203125,303.85567804956526,300.77085431230364,303.0391111321551,2246218
2014-01-02,298.0488586425781,306.10116798946666,296.4837563585467,301.6780684890631,3614496
2014-01-03,300.8161926269531,302.1317925890744,294.873371145493,295.7806738259407,3256592
2014-01-06,300.1810607910156,300.77080192371886,298.04889421400196,300.77080192371886,2981710
2014-01-07,301.4059753417969,304.37738621878725,296.3704286211884,302.63081186562437,3948460
2014-01-08,301.5420227050781,302.56273812350224,299.4098560710788,301.7688483536168,2324740
2014-01-09,300.7481689453125,302.1544770591658,298.0942919264408,300.86158178316134,1888736
2014-01-10,300.33984375,306.0785438874605,297.73134872182317,300.7481410037948,3075254
2014-01-13,305.2392883300781,307.0992754085648,298.0035717197551,299.45523383439445,2376290
2014-01-14,304.98980712890625,306.66832271701685,303.1752016690422,303.51544019276673,1788560
2014-01-15,308.732421875,309.70778335666944,303.76493403593474,305.3073597072536,2313920
2014-01-16,305.33001708984375,310.7511559317912,304.10515298128183,310.47897621374597,2250588
2014-01-17,301.6781921386719,306.2147063061707,298.97896067127306,306.2147063061707,21687428
2014-01-20,303.9690856933594,306.9858782876541,302.31327485638764,303.08446001100606,2800184
2014-01-21,306.7136535644531,307.938517694894,303.9463915230732,305.28466848617194,3125962
2014-01-22,307.16729736328125,310.61506400474826,306.0558737814304,306.4414663275404,3516668
2014-01-23,308.25604248046875,308.98187344763056,305.1938963631131,306.214611735565,2741370
2014-01-24,305.4888000488281,306.1919540342714,301.0883768499081,303.9463745354159,4421450
2014-01-27,294.510498046875,301.63283065237755,292.8773363735398,301.63283065237755,8530224
2014-01-28,292.3555908203125,297.59525788714467,289.7017140567399,293.96604742510635,9197712
2014-01-29,292.80926513671875,295.28167049599716,290.58636247857544,293.73924485295726,5485462
2014-01-30,286.6169128417969,290.2915053316659,284.73427638239514,289.20273103347944,5712730
2014-01-31,285.11981201171875,288.6582862411936,283.57738667874696,285.80028889002836,4810492
2014-02-03,284.2125549316406,287.61493986697553,283.577432001573,285.7776575396306,2388410
2014-02-04,286.072509765625,288.2954122970455,279.81212712130065,282.01235262457993,3704652
2014-02-05,289.1800231933594,290.24609265987704,283.57741309353116,286.25396680633565,3452692
2014-02-06,293.5123596191406,294.6918417971633,285.57346272063216,289.76973679555806,6733472
2014-02-07,293.8526916503906,296.9148385722589,291.28955018846443,295.9621817164845,2014734
2014-02-10,292.1060791015625,294.9413996873104,288.5222228057061,293.80727145301125,3140410
2014-02-11,292.5143737792969,293.58047102432096,290.0192914495145,293.0587609162581,2232428
2014-02-12,292.80926513671875,296.14359143525303,291.9926982563308,293.33094756842297,3218480
2014-02-13,286.9344482421875,293.966043416502,286.3673841152267,293.05874081336464,1577600
2014-02-14,291.1534729003906,292.0834527643335,285.5055072402562,287.6149973975895,2124556
2014-02-17,295.0548400878906,295.7806711502105,290.8358605110309,291.24415778901096,1825060
2014-02-18,299.5914001464844,301.4060057738073,293.69393185768496,294.19293732972494,2509836
2014-02-19,303.9690856933594,304.96712421476616,297.1416383200771,297.68602548527,2030474
2014-02-20,300.6573791503906,302.7895456568272,299.79543066204087,302.0410099859616,1724218
2014-02-21,301.4059753417969,303.76494026819176,299.27380840723373,299.34183949817873,1521936
2014-02-24,304.3999938964844,305.30729641182415,297.48181221701884,300.3624866277524,2509492
2014-02-25,304.4454040527344,306.6683067004435,302.1317932877151,305.76100401789785,2010280
2014-02-26,307.30340576171875,308.119972574788,303.2885750903876,303.94637502182724,2275670
2014-02-28,303.7649230957031,309.7985080072157,301.7461968042014,309.3902107299006,2451792
2014-03-03,302.22247314453125,304.8536448990799,300.8615193726604,301.76882188724096,1839216
2014-03-04,304.71759033203125,305.6929240348993,301.3378825362674,302.1317723284216,3221934
2014-03-05,303.8329772949219,306.2146467697981,300.54400516295,305.5341697769763,2003492
2014-03-06,306.48681640625,307.4395007780595,303.08443155409947,305.30733406630935,2474340
2014-03-07,322.750244140625,324.3153467662519,306.7590347643486,308.30143267254044,11383784
2014-03-10,333.1842346191406,334.29568594794415,317.5559403049672,320.50467403637043,13061926
2014-03-11,328.96527099609375,335.7019821295735,326.42480695055406,333.2068998299618,6500236
2014-03-12,329.1466979980469,332.5264057497465,325.04115923559806,327.196002929065,3555108
2014-03-13,336.76800537109375,340.0116229900987,330.0312951638383,330.0312951638383,5724226
2014-03-14,332.14080810546875,335.6566056564931,328.44353896021073,333.4337032261808,6104240
2014-03-18,332.9800720214844,337.87950078597197,330.39425393535276,333.6151949509481,4051362
2014-03-19,334.99884033203125,337.1990382737603,333.7739761661624,335.70199437711204,3027568
2014-03-20,331.2561950683594,334.9988184093997,330.25815663967956,334.9988184093997,2597542
2014-03-21,332.91204833984375,334.5678869234804,331.7098888169892,333.50181727451917,3762796
2014-03-24,340.5334167480469,341.5541323448807,332.98011025600374,333.206935944189,5856930
2014-03-25,340.3065185546875,345.02447525053145,339.21774440789756,340.23845978725933,4015546
2014-03-26,338.4465637207031,343.0964897778025,337.56193810381177,341.5087101485491,4704656
2014-03-27,338.76416015625,345.1152793289149,336.6093161512387,340.2385271070472,12277466
2014-03-28,337.9475402832031,342.0984330503857,333.4563813535403,340.2157967752192,6080450
2014-03-31,339.6940612792969,341.5994021277045,337.10824353422055,339.30846877998823,4131214
2014-04-01,334.8400573730469,341.84897641509104,332.3222978655464,340.918996665848,4025916
2014-04-02,332.0274658203125,338.4239393901488,327.4909518874687,337.947610964937,5199376
2014-04-03,330.6210632324219,334.7946607469487,329.4642579505034,333.88735814329846,2779852
2014-04-04,329.10137939453125,332.52644157010235,326.6516510141767,329.14673345433437,3711204
